
=== BENCHMARK NATIVO A 2026-06-26 09:38:55 ===
NATIVE-GOAL A (+0.978,+0.542) send=sent
t=  1.7 NATIVO pos=(+1.09,+0.62) yaw=-156.4 d=6.21 spd=0.10 c0=2.50 nobs=87 col=0
NATIVE-CONTACT #1 pos=(+1.08,+0.65) legtau=34.6
t=  1.8 NATIVO pos=(+1.08,+0.65) yaw=-164.4 d=6.20 spd=0.07 c0=2.50 nobs=87 col=1
t=  1.9 NATIVO pos=(+1.08,+0.65) yaw=-164.4 d=6.20 spd=0.06 c0=2.50 nobs=80 col=1
t=  2.0 NATIVO pos=(+1.10,+0.67) yaw=-167.0 d=6.21 spd=0.06 c0=2.50 nobs=80 col=1
t=  2.1 NATIVO pos=(+1.11,+0.67) yaw=-168.3 d=6.21 spd=0.06 c0=2.50 nobs=80 col=1
t=  2.3 NATIVO pos=(+1.11,+0.65) yaw=-170.2 d=6.22 spd=0.05 c0=2.50 nobs=77 col=1
t=  2.4 NATIVO pos=(+1.10,+0.63) yaw=-171.8 d=6.22 spd=0.03 c0=2.50 nobs=77 col=1
t=  2.5 NATIVO pos=(+1.10,+0.58) yaw=-177.8 d=6.24 spd=0.10 c0=2.50 nobs=73 col=1
t=  2.6 NATIVO pos=(+1.10,+0.56) yaw=+174.7 d=6.25 spd=0.12 c0=2.50 nobs=73 col=1
t=  2.8 NATIVO pos=(+1.10,+0.56) yaw=+168.9 d=6.25 spd=0.15 c0=2.50 nobs=73 col=1
t=  2.9 NATIVO pos=(+1.10,+0.58) yaw=+165.9 d=6.24 spd=0.12 c0=1.92 nobs=66 col=1
t=  3.0 NATIVO pos=(+1.12,+0.58) yaw=+166.2 d=6.26 spd=0.10 c0=1.93 nobs=66 col=1
t=  3.2 NATIVO pos=(+1.12,+0.58) yaw=+165.8 d=6.26 spd=0.08 c0=1.94 nobs=66 col=1
t=  3.3 NATIVO pos=(+1.12,+0.56) yaw=+166.5 d=6.27 spd=0.04 c0=2.50 nobs=73 col=1
t=  3.4 NATIVO pos=(+1.12,+0.54) yaw=+166.0 d=6.27 spd=0.04 c0=2.50 nobs=73 col=1
t=  3.5 NATIVO pos=(+1.11,+0.53) yaw=+161.1 d=6.27 spd=0.04 c0=2.50 nobs=73 col=1
t=  3.7 NATIVO pos=(+1.10,+0.54) yaw=+157.8 d=6.26 spd=0.05 c0=2.50 nobs=78 col=1
t=  3.8 NATIVO pos=(+1.08,+0.57) yaw=+156.4 d=6.23 spd=0.05 c0=2.50 nobs=78 col=1
t=  3.9 NATIVO pos=(+1.06,+0.61) yaw=+155.6 d=6.19 spd=0.09 c0=2.50 nobs=78 col=1
t=  4.0 NATIVO pos=(+1.03,+0.64) yaw=+158.5 d=6.15 spd=0.17 c0=2.50 nobs=78 col=1
t=  4.2 NATIVO pos=(+1.00,+0.66) yaw=+161.5 d=6.12 spd=0.22 c0=2.21 nobs=54 col=1
t=  4.3 NATIVO pos=(+0.90,+0.67) yaw=+163.8 d=6.02 spd=0.33 c0=2.12 nobs=54 col=1
t=  4.4 NATIVO pos=(+0.84,+0.66) yaw=+166.6 d=5.97 spd=0.39 c0=2.07 nobs=54 col=1
t=  4.6 NATIVO pos=(+0.77,+0.63) yaw=+167.2 d=5.91 spd=0.41 c0=1.49 nobs=53 col=1
t=  4.7 NATIVO pos=(+0.72,+0.64) yaw=+164.8 d=5.86 spd=0.44 c0=1.43 nobs=53 col=1
t=  4.8 NATIVO pos=(+0.60,+0.67) yaw=+159.5 d=5.74 spd=0.54 c0=1.31 nobs=53 col=1
t=  5.0 NATIVO pos=(+0.56,+0.71) yaw=+156.9 d=5.69 spd=0.57 c0=1.26 nobs=46 col=1
t=  5.1 NATIVO pos=(+0.53,+0.74) yaw=+153.4 d=5.65 spd=0.47 c0=1.22 nobs=45 col=1
t=  5.2 NATIVO pos=(+0.50,+0.85) yaw=+152.6 d=5.58 spd=0.49 c0=1.16 nobs=43 col=1
t=  5.3 NATIVO pos=(+0.46,+0.90) yaw=+154.4 d=5.53 spd=0.53 c0=1.10 nobs=43 col=1
t=  5.5 NATIVO pos=(+0.36,+0.96) yaw=+156.9 d=5.41 spd=0.61 c0=0.99 nobs=37 col=1
t=  5.6 NATIVO pos=(+0.32,+0.98) yaw=+156.4 d=5.37 spd=0.52 c0=1.12 nobs=39 col=1
t=  5.7 NATIVO pos=(+0.29,+0.98) yaw=+156.1 d=5.34 spd=0.49 c0=1.09 nobs=39 col=1
NATIVE-CONTACT #2 pos=(+0.24,+0.98) legtau=33.9
t=  5.9 NATIVO pos=(+0.24,+0.98) yaw=+156.2 d=5.30 spd=0.48 c0=1.04 nobs=39 col=2
t=  6.0 NATIVO pos=(+0.15,+0.92) yaw=+155.5 d=5.23 spd=0.45 c0=1.33 nobs=37 col=2
t=  6.1 NATIVO pos=(+0.10,+0.92) yaw=+153.5 d=5.18 spd=0.46 c0=1.29 nobs=37 col=2
t=  6.3 NATIVO pos=(+0.05,+0.94) yaw=+153.3 d=5.14 spd=0.40 c0=1.25 nobs=37 col=2
t=  6.4 NATIVO pos=(+0.02,+0.95) yaw=+153.7 d=5.10 spd=0.39 c0=1.21 nobs=37 col=2
t=  6.5 NATIVO pos=(-0.02,+1.00) yaw=+153.0 d=5.04 spd=0.41 c0=0.98 nobs=41 col=2
t=  6.6 NATIVO pos=(-0.05,+1.04) yaw=+152.2 d=5.00 spd=0.38 c0=0.94 nobs=41 col=2
t=  6.8 NATIVO pos=(-0.07,+1.08) yaw=+151.6 d=4.97 spd=0.35 c0=0.90 nobs=41 col=2
t=  6.9 NATIVO pos=(-0.08,+1.10) yaw=+155.3 d=4.95 spd=0.33 c0=1.22 nobs=45 col=2
t=  7.0 NATIVO pos=(-0.16,+1.12) yaw=+163.0 d=4.87 spd=0.37 c0=1.15 nobs=45 col=2
t=  7.1 NATIVO pos=(-0.21,+1.12) yaw=+164.7 d=4.83 spd=0.37 c0=1.10 nobs=45 col=2
t=  7.3 NATIVO pos=(-0.26,+1.10) yaw=+166.3 d=4.78 spd=0.33 c0=2.50 nobs=43 col=2
t=  7.4 NATIVO pos=(-0.35,+1.05) yaw=+164.7 d=4.71 spd=0.39 c0=2.50 nobs=43 col=2
t=  7.6 NATIVO pos=(-0.40,+1.06) yaw=+161.9 d=4.67 spd=0.42 c0=2.50 nobs=43 col=2
t=  7.7 NATIVO pos=(-0.44,+1.08) yaw=+158.6 d=4.63 spd=0.45 c0=2.50 nobs=38 col=2
t=  7.8 NATIVO pos=(-0.47,+1.13) yaw=+160.9 d=4.58 spd=0.39 c0=0.97 nobs=43 col=2
t=  7.9 NATIVO pos=(-0.46,+1.15) yaw=+162.2 d=4.57 spd=0.33 c0=0.97 nobs=43 col=2
t=  8.1 NATIVO pos=(-0.47,+1.14) yaw=+160.1 d=4.57 spd=0.29 c0=0.96 nobs=43 col=2
t=  8.2 NATIVO pos=(-0.50,+1.13) yaw=+157.9 d=4.55 spd=0.21 c0=0.94 nobs=43 col=2
t=  8.3 NATIVO pos=(-0.52,+1.12) yaw=+157.1 d=4.54 spd=0.17 c0=0.93 nobs=53 col=2
t=  8.5 NATIVO pos=(-0.52,+1.12) yaw=+157.4 d=4.54 spd=0.11 c0=0.93 nobs=53 col=2
t=  8.6 NATIVO pos=(-0.51,+1.11) yaw=+157.6 d=4.54 spd=0.07 c0=0.93 nobs=53 col=2
t=  8.7 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.55 spd=0.07 c0=0.94 nobs=52 col=2
t=  8.8 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.55 spd=0.05 c0=0.94 nobs=52 col=2
t=  9.0 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.02 c0=0.93 nobs=52 col=2
t=  9.1 NATIVO pos=(-0.51,+1.12) yaw=+157.5 d=4.54 spd=0.01 c0=0.93 nobs=52 col=2
t=  9.2 NATIVO pos=(-0.51,+1.12) yaw=+157.5 d=4.54 spd=0.01 c0=0.93 nobs=45 col=2
t=  9.4 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.01 c0=0.93 nobs=45 col=2
t=  9.5 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.01 c0=0.93 nobs=45 col=2
t=  9.6 NATIVO pos=(-0.51,+1.12) yaw=+157.5 d=4.54 spd=0.01 c0=0.93 nobs=48 col=2
t=  9.7 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=48 col=2
t=  9.9 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.01 c0=0.93 nobs=48 col=2
t= 10.0 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=58 col=2
t= 10.2 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=58 col=2
t= 10.3 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.54 spd=0.00 c0=0.93 nobs=58 col=2
t= 10.4 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.54 spd=0.00 c0=0.93 nobs=58 col=2
t= 10.5 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=58 col=2
t= 10.7 NATIVO pos=(-0.51,+1.12) yaw=+157.5 d=4.54 spd=0.00 c0=0.93 nobs=48 col=2
t= 10.8 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.55 spd=0.00 c0=0.94 nobs=48 col=2
t= 10.9 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=48 col=2 STALL
t= 11.0 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=48 col=2 STALL
t= 11.2 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=52 col=2 STALL
t= 11.3 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=52 col=2 STALL
t= 11.4 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=52 col=2 STALL
t= 11.6 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=42 col=2 STALL
t= 11.7 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=42 col=2 STALL
t= 11.8 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=42 col=2 STALL
t= 11.9 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=52 col=2 STALL
t= 12.1 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=52 col=2 STALL
t= 12.2 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.01 c0=0.93 nobs=52 col=2 STALL
t= 12.3 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=52 col=2 STALL
t= 12.5 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=54 col=2 STALL
t= 12.6 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=54 col=2 STALL
t= 12.7 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=54 col=2 STALL
t= 12.9 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=54 col=2 STALL
t= 13.0 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=46 col=2 STALL
t= 13.1 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.55 spd=0.00 c0=0.94 nobs=46 col=2 STALL
t= 13.2 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=46 col=2 STALL
t= 13.4 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.55 spd=0.00 c0=0.94 nobs=48 col=2 STALL
t= 13.5 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=48 col=2 STALL
t= 13.6 NATIVO pos=(-0.51,+1.12) yaw=+157.5 d=4.55 spd=0.00 c0=0.94 nobs=48 col=2 STALL
t= 13.7 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.54 spd=0.00 c0=0.93 nobs=57 col=2 STALL
t= 13.9 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.54 spd=0.00 c0=0.93 nobs=57 col=2 STALL
t= 14.0 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.54 spd=0.00 c0=0.93 nobs=57 col=2 STALL
t= 14.1 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.01 c0=0.93 nobs=57 col=2 STALL
t= 14.3 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.01 c0=0.93 nobs=52 col=2 STALL
t= 14.4 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=52 col=2 STALL
t= 14.5 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=52 col=2 STALL
t= 14.6 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.01 c0=0.94 nobs=52 col=2 STALL
t= 14.8 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.55 spd=0.01 c0=0.94 nobs=49 col=2 STALL
t= 14.9 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.55 spd=0.01 c0=0.94 nobs=49 col=2 STALL
t= 15.0 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.01 c0=0.94 nobs=49 col=2 STALL
t= 15.2 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.55 spd=0.00 c0=0.94 nobs=54 col=2 STALL
t= 15.3 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=53 col=2 STALL
t= 15.4 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=53 col=2 STALL
t= 15.5 NATIVO pos=(-0.50,+1.12) yaw=+157.7 d=4.55 spd=0.01 c0=0.94 nobs=53 col=2 STALL
t= 15.7 NATIVO pos=(-0.50,+1.12) yaw=+157.5 d=4.55 spd=0.00 c0=0.94 nobs=45 col=2 STALL
t= 15.8 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=45 col=2 STALL
t= 15.9 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=45 col=2 STALL
t= 16.1 NATIVO pos=(-0.51,+1.12) yaw=+157.5 d=4.54 spd=0.00 c0=0.93 nobs=45 col=2 STALL
t= 16.2 NATIVO pos=(-0.51,+1.11) yaw=+157.7 d=4.54 spd=0.01 c0=0.93 nobs=58 col=2 STALL
t= 16.3 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.55 spd=0.01 c0=0.94 nobs=58 col=2 STALL
t= 16.5 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=58 col=2 STALL
t= 16.6 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=50 col=2 STALL
t= 16.7 NATIVO pos=(-0.51,+1.12) yaw=+157.5 d=4.54 spd=0.00 c0=0.93 nobs=50 col=2 STALL
t= 16.8 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=50 col=2 STALL
t= 17.0 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.54 spd=0.01 c0=0.94 nobs=50 col=2 STALL
t= 17.1 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=44 col=2 STALL
t= 17.2 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.01 c0=0.93 nobs=44 col=2 STALL
t= 17.3 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.55 spd=0.01 c0=0.94 nobs=44 col=2 STALL
t= 17.5 NATIVO pos=(-0.51,+1.12) yaw=+157.5 d=4.55 spd=0.00 c0=0.94 nobs=49 col=2 STALL
t= 17.6 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=49 col=2 STALL
t= 17.7 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.55 spd=0.00 c0=0.94 nobs=49 col=2 STALL
t= 17.8 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.54 spd=0.00 c0=0.93 nobs=49 col=2 STALL
t= 17.9 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.55 spd=0.01 c0=0.94 nobs=47 col=2 STALL
t= 18.1 NATIVO pos=(-0.50,+1.12) yaw=+157.6 d=4.55 spd=0.00 c0=0.94 nobs=47 col=2 STALL
t= 18.2 NATIVO pos=(-0.50,+1.12) yaw=+157.5 d=4.55 spd=0.00 c0=0.94 nobs=47 col=2 STALL
t= 18.3 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.01 c0=0.94 nobs=47 col=2 STALL
t= 18.4 NATIVO pos=(-0.51,+1.12) yaw=+157.5 d=4.54 spd=0.01 c0=0.93 nobs=46 col=2 STALL
t= 18.6 NATIVO pos=(-0.51,+1.12) yaw=+157.5 d=4.54 spd=0.00 c0=0.93 nobs=46 col=2 STALL
t= 18.7 NATIVO pos=(-0.51,+1.12) yaw=+157.7 d=4.54 spd=0.01 c0=0.93 nobs=46 col=2 STALL
t= 18.8 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.01 c0=0.94 nobs=49 col=2 STALL
t= 19.0 NATIVO pos=(-0.51,+1.12) yaw=+157.6 d=4.55 spd=0.01 c0=0.94 nobs=49 col=2 STALL
FIN
